Call Type,Call Date,Watch Date,Received DtTm,Entry DtTm,Dispatch DtTm,Response DtTm,On Scene DtTm,Transport DtTm,Hospital DtTm,Call Final Disposition,Available DtTm,Address,City,Zipcode of Incident,Battalion,Station Area,Box,Original Priority,Priority,Final Priority,ALS Unit,Call Type Group,Number of Alarms,Unit Type,Unit sequence in call dispatch,Fire Prevention District,Supervisor District,Neighborhooods - Analysis Boundaries
Structure Fire,01/19/2018,01/19/2018,01/19/2018 07:15:11 PM,01/19/2018 07:16:36 PM,01/19/2018 07:18:41 PM,01/19/2018 07:18:41 PM,,,,Fire,01/19/2018 07:25:49 PM,1200 Block of 35TH AV,San Francisco,94122,B08,23,7564,3,3,3,false,Fire,1,RESCUE SQUAD,11,8,4,Sunset/Parkside
Structure Fire,01/19/2018,01/19/2018,01/19/2018 07:15:11 PM,01/19/2018 07:16:36 PM,01/19/2018 07:17:11 PM,01/19/2018 07:18:50 PM,,,,Fire,01/19/2018 07:20:19 PM,1200 Block of 35TH AV,San Francisco,94122,B08,23,7564,3,3,3,false,Fire,1,RESCUE SQUAD,10,8,4,Sunset/Parkside
Structure Fire,01/19/2018,01/19/2018,01/19/2018 07:15:11 PM,01/19/2018 07:16:36 PM,01/19/2018 07:17:11 PM,01/19/2018 07:18:11 PM,01/19/2018 07:21:10 PM,,,Fire,01/19/2018 07:33:40 PM,1200 Block of 35TH AV,San Francisco,94122,B08,23,7564,3,3,3,false,Fire,1,TRUCK,1,8,4,Sunset/Parkside
Structure Fire,01/19/2018,01/19/2018,01/19/2018 07:15:11 PM,01/19/2018 07:16:36 PM,01/19/2018 07:17:11 PM,01/19/2018 07:17:58 PM,01/19/2018 07:22:02 PM,,,Fire,01/19/2018 07:29:58 PM,1200 Block of 35TH AV,San Francisco,94122,B08,23,7564,3,3,3,false,Fire,1,TRUCK,4,8,4,Sunset/Parkside
Outside Fire,01/19/2018,01/19/2018,01/19/2018 10:36:12 PM,01/19/2018 10:40:47 PM,01/19/2018 10:40:52 PM,01/19/2018 10:42:51 PM,01/19/2018 10:46:28 PM,,,Fire,01/19/2018 10:55:55 PM,GREAT HY/JUDAH ST,San Francisco,94122,B08,23,7722,3,3,3,false,Fire,1,ENGINE,1,8,4,Sunset/Parkside
Outside Fire,01/19/2018,01/19/2018,01/19/2018 10:36:12 PM,01/19/2018 10:40:47 PM,01/19/2018 10:40:52 PM,01/19/2018 10:42:02 PM,,,,Fire,01/19/2018 10:46:40 PM,GREAT HY/JUDAH ST,San Francisco,94122,B08,23,7722,3,3,3,false,Fire,1,TRUCK,3,8,4,Sunset/Parkside
Vehicle Fire,10/31/2018,10/31/2018,10/31/2018 04:01:03 PM,10/31/2018 04:03:22 PM,10/31/2018 04:03:32 PM,10/31/2018 04:03:57 PM,10/31/2018 04:06:47 PM,,,Fire,10/31/2018 04:15:21 PM,BRYANT ST/2ND ST,San Francisco,94107,B03,08,2152,3,3,3,true,Fire,1,ENGINE,1,3,6,Financial District/South Beach
Vehicle Fire,10/31/2018,10/31/2018,10/31/2018 04:01:03 PM,10/31/2018 04:03:22 PM,10/31/2018 04:03:32 PM,10/31/2018 04:04:42 PM,10/31/2018 04:07:41 PM,,,Fire,10/31/2018 04:08:26 PM,BRYANT ST/2ND ST,San Francisco,94107,B03,08,2152,3,3,3,false,Fire,1,TRUCK,2,3,6,Financial District/South Beach
Outside Fire,10/31/2018,10/31/2018,10/31/2018 07:41:22 PM,10/31/2018 07:42:26 PM,10/31/2018 07:42:40 PM,10/31/2018 07:44:19 PM,10/31/2018 07:46:53 PM,,,Fire,10/31/2018 07:50:58 PM,700 Block of MARKET ST,San Francisco,94103,B03,01,2212,3,3,3,true,Fire,1,ENGINE,1,3,6,Financial District/South Beach
Outside Fire,10/31/2018,10/31/2018,10/31/2018 10:15:28 PM,10/31/2018 10:17:24 PM,10/31/2018 10:17:32 PM,10/31/2018 10:18:42 PM,10/31/2018 10:21:41 PM,,,Fire,10/31/2018 10:38:27 PM,100 Block of MUSEUM WAY,San Francisco,94114,B05,06,5175,3,3,3,false,Fire,1,CHIEF,1,5,8,Castro/Upper Market
Outside Fire,10/31/2018,10/31/2018,10/31/2018 10:15:28 PM,10/31/2018 10:17:24 PM,10/31/2018 10:18:11 PM,10/31/2018 10:18:11 PM,10/31/2018 10:24:51 PM,,,Fire,10/31/2018 10:40:06 PM,100 Block of MUSEUM WAY,San Francisco,94114,B05,06,5175,3,3,3,false,Fire,1,ENGINE,3,5,8,Castro/Upper Market
Outside Fire,10/31/2018,10/31/2018,10/31/2018 10:15:28 PM,10/31/2018 10:17:24 PM,10/31/2018 10:17:32 PM,,,,,Fire,10/31/2018 10:19:39 PM,100 Block of MUSEUM WAY,San Francisco,94114,B05,06,5175,3,3,3,true,Fire,1,ENGINE,4,5,8,Castro/Upper Market
Outside Fire,10/31/2018,10/31/2018,10/31/2018 10:15:28 PM,10/31/2018 10:17:24 PM,10/31/2018 10:17:32 PM,10/31/2018 10:19:15 PM,10/31/2018 10:22:42 PM,,,Fire,10/31/2018 10:40:41 PM,100 Block of MUSEUM WAY,San Francisco,94114,B05,06,5175,3,3,3,false,Fire,1,TRUCK,2,5,8,Castro/Upper Market
Outside Fire,11/01/2018,10/31/2018,11/01/2018 03:54:42 AM,11/01/2018 03:55:06 AM,11/01/2018 03:55:17 AM,11/01/2018 03:57:00 AM,,,,Fire,11/01/2018 04:16:46 AM,1900 Block of 15TH ST,San Francisco,94114,B02,06,5227,3,3,3,true,Fire,1,ENGINE,1,2,8,Castro/Upper Market
Outside Fire,09/21/2018,09/21/2018,09/21/2018 10:17:36 PM,09/21/2018 10:25:25 PM,09/21/2018 10:25:39 PM,09/21/2018 10:27:56 PM,,,,Fire,09/21/2018 10:31:47 PM,1400 Block of SAN BRUNO AV,San Francisco,94110,B10,09,0262,3,3,3,true,Fire,1,ENGINE,1,10,10,Mission
Outside Fire,10/31/2018,10/30/2018,10/31/2018 01:04:03 AM,10/31/2018 01:05:19 AM,10/31/2018 01:05:27 AM,10/31/2018 01:07:08 AM,10/31/2018 01:08:33 AM,,,Fire,10/31/2018 01:17:14 AM,CALIFORNIA ST/POLK ST,San Francisco,94109,B04,41,1635,3,3,3,false,Fire,1,ENGINE,1,4,3,Nob Hill
Vehicle Fire,10/31/2018,10/30/2018,10/31/2018 01:42:38 AM,10/31/2018 01:44:27 AM,10/31/2018 01:44:38 AM,10/31/2018 01:44:48 AM,10/31/2018 01:44:48 AM,,,Fire,10/31/2018 02:12:38 AM,LARKIN ST/CALIFORNIA ST,San Francisco,94109,B04,41,1635,3,3,3,false,Fire,1,ENGINE,1,4,3,Nob Hill
Vehicle Fire,10/31/2018,10/30/2018,10/31/2018 01:42:38 AM,10/31/2018 01:44:27 AM,10/31/2018 01:44:38 AM,10/31/2018 01:46:17 AM,,,,Fire,10/31/2018 01:50:14 AM,LARKIN ST/CALIFORNIA ST,San Francisco,94109,B04,41,1635,3,3,3,false,Fire,1,TRUCK,2,4,3,Nob Hill
Outside Fire,10/31/2018,10/30/2018,10/31/2018 02:08:10 AM,10/31/2018 02:10:23 AM,10/31/2018 02:10:29 AM,10/31/2018 02:13:01 AM,10/31/2018 02:15:34 AM,,,Fire,10/31/2018 02:17:44 AM,500 Block of HARRISON ST,San Francisco,94105,B03,35,2136,3,3,3,true,Fire,1,ENGINE,1,3,6,Financial District/South Beach
Outside Fire,11/08/2018,11/07/2018,11/08/2018 03:34:39 AM,11/08/2018 03:35:14 AM,11/08/2018 03:35:24 AM,11/08/2018 03:37:04 AM,11/08/2018 03:38:49 AM,,,Fire,11/08/2018 03:43:00 AM,700 Block of EDDY ST,San Francisco,94109,B02,03,3163,3,3,3,true,Fire,1,ENGINE,1,2,6,Tenderloin
Outside Fire,01/22/2018,01/21/2018,01/22/2018 01:51:47 AM,01/22/2018 01:53:01 AM,01/22/2018 01:53:11 AM,01/22/2018 01:54:54 AM,01/22/2018 01:56:31 AM,,,Fire,01/22/2018 01:59:07 AM,1000 Block of SUTTER ST,San Francisco,94109,B04,03,1557,3,3,3,true,Fire,1,ENGINE,1,4,3,Nob Hill
Outside Fire,01/22/2018,01/21/2018,01/22/2018 02:39:43 AM,01/22/2018 02:39:43 AM,01/22/2018 02:39:50 AM,01/22/2018 02:41:45 AM,01/22/2018 02:42:47 AM,,,Unable to Locate,01/22/2018 02:45:49 AM,900 Block of POST ST,San Francisco,94109,B04,03,1641,B,3,3,true,Fire,1,ENGINE,1,4,6,Tenderloin
Outside Fire,01/22/2018,01/22/2018,01/22/2018 10:51:06 AM,01/22/2018 10:51:06 AM,01/22/2018 10:51:11 AM,01/22/2018 10:52:51 AM,01/22/2018 10:54:26 AM,,,No Merit,01/22/2018 10:56:12 AM,700 Block of 14TH ST,San Francisco,94114,B02,06,5213,A,3,3,true,Fire,1,ENGINE,1,2,8,Castro/Upper Market
Outside Fire,01/22/2018,01/22/2018,01/22/2018 07:26:22 PM,01/22/2018 07:29:17 PM,01/22/2018 07:29:29 PM,01/22/2018 07:30:28 PM,01/22/2018 07:36:12 PM,,,Fire,01/22/2018 07:39:41 PM,GILMAN AV/HUNTERS POINT EX,San Francisco,94124,B10,17,6616,3,3,3,false,Fire,1,CHIEF,2,10,10,Bayview Hunters Point
Outside Fire,01/22/2018,01/22/2018,01/22/2018 07:26:22 PM,01/22/2018 07:29:17 PM,01/22/2018 07:29:29 PM,01/22/2018 07:30:54 PM,01/22/2018 07:35:55 PM,,,Fire,01/22/2018 07:52:56 PM,GILMAN AV/HUNTERS POINT EX,San Francisco,94124,B10,17,6616,3,3,3,true,Fire,1,ENGINE,1,10,10,Bayview Hunters Point
Outside Fire,01/22/2018,01/22/2018,01/22/2018 07:26:22 PM,01/22/2018 07:29:17 PM,01/22/2018 07:29:29 PM,01/22/2018 07:31:19 PM,01/22/2018 07:37:51 PM,,,Fire,01/22/2018 07:39:26 PM,GILMAN AV/HUNTERS POINT EX,San Francisco,94124,B10,17,6616,3,3,3,false,Fire,1,TRUCK,3,10,10,Bayview Hunters Point
Outside Fire,01/22/2018,01/22/2018,01/22/2018 08:44:06 PM,01/22/2018 08:46:24 PM,01/22/2018 08:46:34 PM,01/22/2018 08:48:55 PM,01/22/2018 08:50:34 PM,,,No Merit,01/22/2018 08:56:08 PM,1300 Block of MCALLISTER ST,San Francisco,94115,B05,05,3642,3,3,3,true,Fire,1,ENGINE,1,5,5,Western Addition
Outside Fire,11/09/2018,11/09/2018,11/09/2018 08:33:47 AM,11/09/2018 08:35:15 AM,11/09/2018 08:35:23 AM,11/09/2018 08:37:17 AM,11/09/2018 08:40:29 AM,,,Fire,11/09/2018 08:40:49 AM,400 Block of VALENCIA ST,San Francisco,94103,B02,06,5226,3,3,3,false,Fire,1,ENGINE,1,2,9,Mission
Outside Fire,01/23/2018,01/23/2018,01/23/2018 10:19:22 AM,01/23/2018 10:22:51 AM,01/23/2018 10:24:56 AM,01/23/2018 10:24:56 AM,01/23/2018 10:26:18 AM,,,Code 3 Transport,01/23/2018 11:01:54 AM,OSAGE AL/24TH ST,San Francisco,94110,B06,11,5525,3,3,3,true,Fire,1,ENGINE,2,6,9,Mission
Outside Fire,11/05/2018,11/05/2018,11/05/2018 10:02:08 AM,11/05/2018 10:02:08 AM,11/05/2018 10:02:24 AM,11/05/2018 10:03:42 AM,11/05/2018 10:08:14 AM,,,SFPD,11/05/2018 10:12:40 AM,0 Block of PRIEST ST,San Francisco,94109,B01,41,1466,C,3,3,false,Fire,1,CHIEF,3,1,3,Nob Hill
Outside Fire,11/05/2018,11/05/2018,11/05/2018 10:02:08 AM,11/05/2018 10:02:08 AM,11/05/2018 10:03:51 AM,11/05/2018 10:03:53 AM,11/05/2018 10:07:40 AM,,,SFPD,11/05/2018 10:15:00 AM,0 Block of PRIEST ST,San Francisco,94109,B01,41,1466,C,3,3,true,Fire,1,ENGINE,1,1,3,Nob Hill
Outside Fire,11/05/2018,11/05/2018,11/05/2018 10:02:08 AM,11/05/2018 10:02:08 AM,11/05/2018 10:02:24 AM,,,,,SFPD,11/05/2018 10:03:57 AM,0 Block of PRIEST ST,San Francisco,94109,B01,41,1466,C,3,3,true,Fire,1,ENGINE,4,1,3,Nob Hill
Outside Fire,11/05/2018,11/05/2018,11/05/2018 10:02:08 AM,11/05/2018 10:02:08 AM,11/05/2018 10:02:24 AM,11/05/2018 10:04:19 AM,11/05/2018 10:07:55 AM,,,SFPD,11/05/2018 10:15:13 AM,0 Block of PRIEST ST,San Francisco,94109,B01,41,1466,C,3,3,false,Fire,1,TRUCK,2,1,3,Nob Hill
Structure Fire,11/05/2018,11/05/2018,11/05/2018 02:33:53 PM,11/05/2018 02:34:22 PM,11/05/2018 02:35:13 PM,11/05/2018 02:36:25 PM,11/05/2018 02:44:16 PM,,,Fire,11/05/2018 03:14:46 PM,1200 Block of 22ND AV,San Francisco,94122,B08,22,7425,3,3,3,true,Fire,1,MEDIC,7,8,4,Sunset/Parkside
Structure Fire,11/05/2018,11/05/2018,11/05/2018 02:33:53 PM,11/05/2018 02:34:22 PM,11/05/2018 02:35:13 PM,11/05/2018 02:36:21 PM,11/05/2018 02:40:47 PM,,,Fire,11/05/2018 03:18:04 PM,1200 Block of 22ND AV,San Francisco,94122,B08,22,7425,3,3,3,false,Fire,1,CHIEF,5,8,4,Sunset/Parkside
Structure Fire,11/05/2018,11/05/2018,11/05/2018 02:33:53 PM,11/05/2018 02:34:22 PM,11/05/2018 02:35:13 PM,11/05/2018 02:35:23 PM,11/05/2018 02:39:54 PM,,,Fire,11/05/2018 04:10:36 PM,1200 Block of 22ND AV,San Francisco,94122,B08,22,7425,3,3,3,false,Fire,1,CHIEF,3,8,4,Sunset/Parkside
Structure Fire,11/05/2018,11/05/2018,11/05/2018 02:33:53 PM,11/05/2018 02:34:22 PM,11/05/2018 02:48:13 PM,11/05/2018 02:48:13 PM,11/05/2018 02:51:38 PM,,,Fire,11/05/2018 03:03:45 PM,1200 Block of 22ND AV,San Francisco,94122,B08,22,7425,3,3,3,false,Fire,1,CHIEF,13,8,4,Sunset/Parkside
Structure Fire,11/05/2018,11/05/2018,11/05/2018 02:33:53 PM,11/05/2018 02:34:22 PM,11/05/2018 02:35:13 PM,11/05/2018 02:36:28 PM,11/05/2018 02:44:59 PM,,,Fire,11/05/2018 02:58:34 PM,1200 Block of 22ND AV,San Francisco,94122,B08,22,7425,3,3,3,false,Fire,1,CHIEF,8,8,4,Sunset/Parkside
Structure Fire,11/05/2018,11/05/2018,11/05/2018 02:33:53 PM,11/05/2018 02:34:22 PM,11/05/2018 02:35:13 PM,11/05/2018 02:36:28 PM,11/05/2018 02:39:33 PM,,,Fire,11/05/2018 03:45:14 PM,1200 Block of 22ND AV,San Francisco,94122,B08,22,7425,3,3,3,true,Fire,1,ENGINE,2,8,4,Sunset/Parkside
Structure Fire,11/05/2018,11/05/2018,11/05/2018 02:33:53 PM,11/05/2018 02:34:22 PM,11/05/2018 02:35:13 PM,11/05/2018 02:37:28 PM,11/05/2018 02:39:21 PM,,,Fire,11/05/2018 03:56:53 PM,1200 Block of 22ND AV,San Francisco,94122,B08,22,7425,3,3,3,false,Fire,1,ENGINE,1,8,4,Sunset/Parkside
Structure Fire,11/05/2018,11/05/2018,11/05/2018 02:33:53 PM,11/05/2018 02:34:22 PM,11/05/2018 02:35:13 PM,11/05/2018 02:36:21 PM,11/05/2018 02:41:03 PM,,,Fire,11/05/2018 03:51:58 PM,1200 Block of 22ND AV,San Francisco,94122,B08,22,7425,3,3,3,false,Fire,1,ENGINE,6,8,4,Sunset/Parkside
Structure Fire,11/05/2018,11/05/2018,11/05/2018 02:33:53 PM,11/05/2018 02:34:22 PM,11/05/2018 02:49:56 PM,11/05/2018 02:49:56 PM,11/05/2018 02:51:02 PM,,,Fire,11/05/2018 02:58:48 PM,1200 Block of 22ND AV,San Francisco,94122,B08,22,7425,3,3,3,false,Fire,1,ENGINE,12,8,4,Sunset/Parkside
Structure Fire,11/05/2018,11/05/2018,11/05/2018 02:33:53 PM,11/05/2018 02:34:22 PM,11/05/2018 02:42:25 PM,11/05/2018 02:44:14 PM,11/05/2018 02:48:43 PM,,,Fire,11/05/2018 03:08:36 PM,1200 Block of 22ND AV,San Francisco,94122,B08,22,7425,3,3,3,false,Fire,1,ENGINE,10,8,4,Sunset/Parkside
Structure Fire,11/05/2018,11/05/2018,11/05/2018 02:33:53 PM,11/05/2018 02:34:22 PM,11/05/2018 02:42:25 PM,11/05/2018 02:43:28 PM,11/05/2018 02:49:12 PM,,,Fire,11/05/2018 03:22:03 PM,1200 Block of 22ND AV,San Francisco,94122,B08,22,7425,3,3,3,true,Fire,1,RESCUE CAPTAIN,11,8,4,Sunset/Parkside
Structure Fire,11/05/2018,11/05/2018,11/05/2018 02:33:53 PM,11/05/2018 02:34:22 PM,11/05/2018 02:35:13 PM,11/05/2018 02:36:36 PM,11/05/2018 02:47:03 PM,,,Fire,11/05/2018 03:08:03 PM,1200 Block of 22ND AV,San Francisco,94122,B08,22,7425,3,3,3,false,Fire,1,RESCUE SQUAD,9,8,4,Sunset/Parkside
Structure Fire,11/05/2018,11/05/2018,11/05/2018 02:33:53 PM,11/05/2018 02:34:22 PM,11/05/2018 02:35:13 PM,11/05/2018 02:36:25 PM,11/05/2018 02:40:32 PM,,,Fire,11/05/2018 03:52:04 PM,1200 Block of 22ND AV,San Francisco,94122,B08,22,7425,3,3,3,false,Fire,1,TRUCK,4,8,4,Sunset/Parkside
Outside Fire,11/05/2018,11/05/2018,11/05/2018 05:42:19 PM,11/05/2018 05:42:19 PM,11/05/2018 05:42:35 PM,11/05/2018 05:43:45 PM,11/05/2018 05:47:39 PM,,,Fire,11/05/2018 05:50:59 PM,800 Block of MARKET ST,San Francisco,94102,B03,13,1322,C,3,3,true,Fire,1,ENGINE,1,3,3,Financial District/South Beach
Outside Fire,11/05/2018,11/05/2018,11/05/2018 10:20:02 PM,11/05/2018 10:24:20 PM,11/05/2018 10:46:21 PM,11/05/2018 10:47:22 PM,11/05/2018 10:54:25 PM,11/05/2018 11:09:20 PM,11/05/2018 11:31:55 PM,Code 2 Transport,11/06/2018 12:12:18 AM,100 Block of THE EMBARCADERO SOU,San Francisco,94111,B03,35,2131,3,3,3,true,Fire,1,MEDIC,2,1,3,Financial District/South Beach
Outside Fire,11/05/2018,11/05/2018,11/05/2018 10:20:02 PM,11/05/2018 10:24:20 PM,11/05/2018 10:24:32 PM,11/05/2018 10:26:19 PM,11/05/2018 10:28:45 PM,,,Code 2 Transport,11/05/2018 11:01:48 PM,100 Block of THE EMBARCADERO SOU,San Francisco,94111,B03,35,2131,3,3,3,true,Fire,1,ENGINE,1,1,3,Financial District/South Beach
Outside Fire,11/08/2018,11/08/2018,11/08/2018 06:14:25 PM,11/08/2018 06:16:21 PM,11/08/2018 06:16:28 PM,11/08/2018 06:17:56 PM,11/08/2018 06:20:07 PM,,,Fire,11/08/2018 06:24:10 PM,200 Block of POPLAR ST,San Francisco,94110,B06,11,5535,3,3,3,true,Fire,1,ENGINE,1,6,8,Mission
Outside Fire,02/02/2018,02/02/2018,02/02/2018 09:44:43 PM,02/02/2018 09:47:22 PM,02/02/2018 09:48:42 PM,02/02/2018 09:49:38 PM,02/02/2018 09:50:48 PM,,,Fire,02/02/2018 09:55:17 PM,ALICE B TOKLAS PL/POLK ST,San Francisco,94109,B04,03,3116,3,3,3,true,Fire,1,ENGINE,1,4,6,Tenderloin
Outside Fire,01/23/2018,01/22/2018,01/23/2018 04:49:22 AM,01/23/2018 04:50:19 AM,01/23/2018 04:50:25 AM,01/23/2018 04:52:00 AM,01/23/2018 04:53:23 AM,,,Fire,01/23/2018 04:55:04 AM,POTRERO AV/16TH ST,San Francisco,94103,B02,29,2351,3,3,3,true,Fire,1,ENGINE,1,2,10,Mission
Outside Fire,01/23/2018,01/22/2018,01/23/2018 04:55:39 AM,01/23/2018 04:57:33 AM,01/23/2018 04:57:53 AM,01/23/2018 04:58:52 AM,01/23/2018 05:00:13 AM,,,Fire,01/23/2018 05:06:21 AM,200 Block of POTRERO AVE,San Francisco,94103,B02,29,2351,3,3,3,true,Fire,1,ENGINE,1,2,10,Mission
Outside Fire,01/23/2018,01/22/2018,01/23/2018 07:59:06 AM,01/23/2018 08:00:32 AM,01/23/2018 08:00:38 AM,01/23/2018 08:02:11 AM,01/23/2018 08:04:51 AM,,,Fire,01/23/2018 08:10:24 AM,CHULA LN/DOLORES ST,San Francisco,94110,B02,06,5251,3,3,3,false,Fire,1,ENGINE,1,2,8,Castro/Upper Market
Outside Fire,01/23/2018,01/23/2018,01/23/2018 10:19:22 AM,01/23/2018 10:22:51 AM,01/23/2018 10:23:14 AM,01/23/2018 10:23:30 AM,01/23/2018 10:28:15 AM,01/23/2018 10:35:19 AM,01/23/2018 10:39:08 AM,Code 3 Transport,01/23/2018 11:31:25 AM,OSAGE AL/24TH ST,San Francisco,94110,B06,11,5525,3,3,3,true,Fire,1,MEDIC,6,6,9,Mission
Outside Fire,01/23/2018,01/23/2018,01/23/2018 10:19:22 AM,01/23/2018 10:22:51 AM,01/23/2018 10:32:06 AM,01/23/2018 10:32:43 AM,01/23/2018 10:37:41 AM,,,Code 3 Transport,01/23/2018 01:12:10 PM,OSAGE AL/24TH ST,San Francisco,94110,B06,11,5525,3,3,3,false,Fire,1,INVESTIGATION,7,6,9,Mission
